Receita,Origem,Ingredientes,Modo de Preparo,Categoria,Link
Acarajé,Nigéria ,"Feijão fradinho, azeite de dendê, camarão",Preparo de bolinhos fritos com recheio,Salgado,Receita Acarajé
Vatapá,Nigéria,"Pão amanhecido, azeite de dendê, camarão",Cozido até formar um creme,Salgado,Receita Vatapá
Moqueca de Peixe,africana e portuguesa,"Peixe, leite de coco, azeite de dendê",Cozido com temperos e leite de coco,Salgado,Receita Moqueca
Bobó de Camarão,Angola e Brasil,"Camarão, mandioca, leite de coco",Cozido até formar um creme,Salgado,Receita Bobó
Caruru,Nigéria e Brasil,"Quiabo, camarão seco, azeite de dendê",Cozido com quiabo e temperos,Salgado,Receita Caruru
Abará,Nigéria ,"Feijão fradinho, azeite de dendê, camarão",Cozido em banho-maria em folhas de bananeira,Salgado,Receita Abará
Muqueca de Frutos do Mar,Nigéria,"Frutos do mar, leite de coco, azeite de dendê",Cozido com temperos e leite de coco,Salgado,Receita Muqueca
Feijoada Baiana,Portuguesa e Afrobrasileira,"Feijão preto, carne seca, linguiça",Cozido lentamente,Salgado,Receita Feijoada
Bobó de Frango,Africana Jejé,"Frango, mandioca, leite de coco",Cozido até formar um creme,Salgado,Receita Bobó
Xinxim,Angola,"Galinha, amendoim, camarão seco, dendê",Cozido com temperos e leite de coco,Salgado,Receita Xinxim
Angu,Nigéria ,"Fubá, água, sal",Cozido até formar uma papa,Salgado,Receita Angu
Quibebe,Africana Jejé,"Abóbora, leite de coco, azeite de dendê",Cozido até formar um purê,Salgado,Receita Quibebe
Cocada,Angola,"Coco ralado, açúcar",Cozido até formar uma cocada,Doce,Receita Cocada
Quindim,Africana e Portuguesa,"Coco ralado, açúcar, gemas",Assado em banho-maria,Doce,Receita Quindim
Mungunzá (Canjica),Afro-indígena,"Milho branco, leite de coco, açúcar",Cozido até amolecer,Doce,Receita Mungunzá
Pamonha,Angola,"Milho, leite, açúcar",Cozido na palha do milho,Doce,Receita Pamonha
Cuscuz Doce,Angola,"Farinha de milho, leite de coco, açúcar",Cozido até firmar,Doce,Receita Cuscuz
Melketert,"África do Sul, popular no Brasil","Leite, farinha, açúcar, ovos",Assado com massa doce,Doce,Receita Melketert
Cocada Angolana,Angola,"Coco ralado, açúcar",Cozido até formar uma cocada,Doce,Receita Cocada Angolana
Brigadeiro,Afrobrasileiro,"Leite condensado, chocolate, manteiga","Cozinhe até desgrudar da panela, enrole",Doce,link
