Receita,Origem,Ingredientes,Modo de Preparo,Categoria,Link da Receita
Kibe Assado,"Líbano, Palestina, Síria, Iraque​","Trigo para kibe, carne moída, cebola, hortelã, pimenta síria, sal, azeite","Misturar ingredientes, moldar e assar no forno.",Salgado,Receita de Kibe Assado
Esfiha de Carne,"Líbano, Síria","Farinha de trigo, leite, fermento, açúcar, óleo, carne moída, cebola, tomate, limão, sal, pimenta","Preparar a massa, rechear com carne temperada, moldar esfihas e assar.",Salgado,Receita de Esfiha de Carne
Homus,"Líbano, Síria, Palestina, Israel","Grão-de-bico, tahine, alho, limão, sal, azeite","Cozinhar o grão-de-bico, bater com os demais ingredientes até formar uma pasta.",Salgado,Receita de Homus
Tabule,"Líbano, Síria","Trigo para kibe, tomate, pepino, cebola, salsinha, hortelã, limão, azeite, sal",Misturar todos os ingredientes e servir gelado.,Salgado,Receita de Tabule
Baba Ghanoush,"Líbano, Síria, Palestina","Berinjela, tahine, alho, limão, sal, azeite","Assar a berinjela, bater com os demais ingredientes até formar uma pasta.",Salgado,Receita de Baba Ghanoush
Charuto de Repolho,"Síria, Líbano","Repolho, carne moída, arroz, cebola, alho, hortelã, tomate, limão, sal, pimenta","Rechear folhas de repolho com carne e arroz temperados, enrolar e cozinhar no molho de tomate.",Salgado,Receita de Charuto de Repolho
Falafel,"Egito, Líbano, Israel","Grão-de-bico, cebola, alho, coentro, salsinha, cominho, sal, pimenta, azeite","Triturar o grão-de-bico com os temperos, moldar bolinhos e fritar.",Salgado,Receita de Falafel
Arroz Marroquino,Marrocos,"Arroz, frango, cenoura, uva passa, amêndoas, cebola, alho, canela, caldo de galinha, azeite","Cozinhar o arroz com frango e temperos, adicionar cenoura, uvas passas e amêndoas.",Salgado,Receita de Arroz Marroquino
Doce de Semolina (Basbousa),Egito,"Semolina, açúcar, iogurte, manteiga, fermento, amêndoas, coco ralado","Misturar os ingredientes, colocar em uma forma, assar e servir com calda de açúcar.",Doce,Receita de Basbousa
Mahalabia,"Egito, Líbano","Leite, amido de milho, açúcar, água de flor de laranjeira, pistache","Cozinhar o leite com amido e açúcar até engrossar, adicionar água de flor de laranjeira, servir com pistache.",Doce,Receita de Mahalabia
Knafeh,"Palestina, Síria","Massa filo, queijo branco, manteiga, açúcar, água de flor de laranjeira, pistache","Preparar a massa filo com manteiga, rechear com queijo, assar e servir com calda de açúcar e pistache.",Doce,Receita de Knafeh
Ataif,"Líbano, Síria, Palestina","Farinha de trigo, açúcar, fermento, água de flor de laranjeira, nozes, açúcar, água","Preparar a massa, rechear com nozes, assar e servir com calda de açúcar.",Doce,Receita de Ataif
